"","CMCSA","FISV","MSFT","JNJ","CSCO","ADS","CL","BBT","AAPL","BFB","Rf","SP500"
"2010-08-03",7.354196,12.665,21.087406,45.908974,19.099752,57.759079,30.048235,19.660789,25.057827,12.03315,1.554,1120.459961
"2010-08-04",7.361853,12.65,20.740786,46.210644,19.356346,59.618176,30.017469,19.882677,25.158278,12.048088,1.616,1127.23999
"2010-08-05",7.250833,12.72,20.450598,46.226135,19.380405,59.804077,29.659838,20.009472,25.035818,11.805333,1.577,1125.810059
"2010-08-06",7.135983,12.7175,20.595688,46.380825,19.300217,60.097618,29.417583,19.969847,24.8818,11.678353,1.506,1121.640015
"2010-08-09",7.170435,12.8425,20.644053,46.450443,19.8615,62.504662,29.329138,20.088722,25.040604,11.69703,1.526,1127.790039
"2010-08-10",7.124497,12.7,20.208757,45.970852,19.492659,59.774727,29.982862,20.001543,24.81675,11.745577,1.482,1121.060059
"2010-08-11",6.894799,12.46,20.039492,45.251488,19.027586,57.054581,29.406052,19.201164,23.934704,11.458008,1.426,1089.469971
"2010-08-12",6.956051,12.4075,19.741232,45.266953,17.127239,56.614273,29.617546,18.892109,24.087772,11.396383,1.463,1083.609985
"2010-08-13",6.841201,12.2975,19.668688,44.980736,17.127239,56.819756,29.375282,18.88418,23.830423,11.368376,1.46,1079.25
"2010-08-16",6.795261,12.5175,19.74929,44.87244,17.568249,55.841278,29.290674,18.860407,23.690756,11.304885,1.383,1079.380005
"2010-08-17",6.799091,12.7525,20.024824,45.808418,17.680504,58.365734,29.398354,18.900034,24.104992,11.711967,1.43,1092.540039
"2010-08-18",6.933083,12.9,20.11397,45.908974,17.969166,57.778656,29.53294,18.892109,24.210226,11.607396,1.443,1094.160034
"2010-08-19",6.829717,12.7325,19.806017,45.421654,17.816816,56.007618,29.51372,18.448332,23.905052,11.431864,1.392,1075.630005
"2010-08-20",6.818231,12.815,19.635834,45.43713,17.824842,55.371616,29.236851,18.313612,23.882092,11.437468,1.449,1071.689941
"2010-08-23",6.680414,12.685,19.676361,45.537682,17.383825,54.794315,29.040731,17.925314,23.514727,11.487885,1.423,1067.359985
"2010-08-24",6.511968,12.56,19.481865,44.87244,16.942818,53.072216,29.021503,17.750971,22.953173,11.553244,1.331,1051.869995
"2010-08-25",6.634472,12.615,19.530485,44.849243,17.006968,53.747356,28.948442,17.640028,23.236345,11.517763,1.383,1055.329956
"2010-08-26",6.519622,12.535,19.303576,44.710011,16.598028,53.571224,28.452375,17.647957,22.986652,11.429997,1.386,1047.219971
"2010-08-27",6.603846,12.7475,19.392719,44.975483,16.686228,56.095684,28.552362,18.004557,23.114843,11.59619,1.496,1064.589966
"2010-08-30",6.508139,12.515,19.157703,44.741245,16.293325,55.508602,28.402395,17.330978,23.199038,11.407591,1.393,1048.920044
"2010-08-31",6.546421,12.5025,19.019936,44.522598,16.028725,54.980225,28.394693,17.529093,23.256433,11.444938,1.342,1049.329956
"2010-09-01",6.868001,12.9125,19.368408,45.514256,16.245214,58.150475,28.810009,18.250219,23.948099,10.927684,1.409,1080.290039
"2010-09-02",6.921597,13.13,19.400824,45.764122,16.453697,59.285492,28.775394,18.321539,24.124121,11.09428,1.424,1090.099976
"2010-09-03",6.971364,13.245,19.684465,46.013977,16.870649,59.686665,28.783089,18.670219,24.755524,11.248498,1.485,1104.51001
"2010-09-07",6.814404,12.9425,19.417028,45.834393,16.501806,58.033054,28.748476,17.980785,24.663687,11.22184,1.407,1091.839966
